Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
0,533_AT1;1118_AT1;2713_AT1;8833_AT1;5230_AT1;80025_AT2;163404_AT1;283209_AT1,8,,5.685842366401581,0.0,0
1,533_AT1;1118_AT1;2713_AT1;8833_AT1;5230_AT1;80025_AT2;283209_AT1,7,163404_AT1,5.6858423663986075,2.9736213491560193e-12,0
2,1118_AT1;2713_AT1;8833_AT1;5230_AT1;80025_AT2;283209_AT1,6,533_AT1,5.685842366391225,7.382539024547441e-12,0
3,2713_AT1;8833_AT1;5230_AT1;80025_AT2;283209_AT1,5,1118_AT1,5.685590585587818,0.0002517808034072644,0
4,8833_AT1;5230_AT1;80025_AT2;283209_AT1,4,2713_AT1,5.684783759388437,0.0008068261993807724,0
5,5230_AT1;80025_AT2;283209_AT1,3,8833_AT1,5.680010275737469,0.004773483650968302,0
6,5230_AT1;283209_AT1,2,80025_AT2,5.673438993727449,0.006571282010019885,0
7,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,0
0,533_AT1;1118_AT1;2713_AT1;8833_AT1;5230_AT1;80025_AT2;163404_AT1;283209_AT1,8,,5.685842366401581,0.0,1
1,533_AT1;1118_AT1;2713_AT1;8833_AT1;5230_AT1;80025_AT2;283209_AT1,7,163404_AT1,5.6858423663986075,2.9736213491560193e-12,1
2,1118_AT1;2713_AT1;8833_AT1;5230_AT1;80025_AT2;283209_AT1,6,533_AT1,5.685842366391225,7.382539024547441e-12,1
3,2713_AT1;8833_AT1;5230_AT1;80025_AT2;283209_AT1,5,1118_AT1,5.685590585587818,0.0002517808034072644,1
4,8833_AT1;5230_AT1;80025_AT2;283209_AT1,4,2713_AT1,5.684783759388437,0.0008068261993807724,1
5,5230_AT1;80025_AT2;283209_AT1,3,8833_AT1,5.680010275737469,0.004773483650968302,1
6,5230_AT1;283209_AT1,2,80025_AT2,5.673438993727449,0.006571282010019885,1
7,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,1
