Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
7,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,4
8,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,4
0,1638_AT1;246_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,10,,6.4733803614502055,0.0,5
1,1638_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,246_AT1,6.473230568591872,0.00014979285833316425,5
2,1638_AT1;3283_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,55217_AT1,6.4725973061446656,0.0006332624472067394,5
3,1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,2053_AT1,6.471883686431128,0.000713619713537561,5
4,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,1638_AT1,6.4700991425264,0.001784543904728153,5
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,5
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,5
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,5
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,5
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,5
0,1638_AT1;246_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,,6.472837404490864,0.0,6
1,1638_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,246_AT1,6.472506541493925,0.0003308629969387411,6
2,1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,55217_AT1,6.471883686431128,0.0006228550627973561,6
3,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,1638_AT1,6.4700991425264,0.001784543904728153,6
4,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,6
5,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,6
6,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,6
7,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,6
8,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,6
0,1638_AT1;246_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,,6.472160487482041,0.0,7
1,1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,246_AT1,6.471883686431128,0.00027680105091310026,7
2,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,1638_AT1,6.4700991425264,0.001784543904728153,7
3,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,7
4,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,7
5,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,7
6,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,7
7,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,7
0,3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,,6.470673204396533,0.0,8
1,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,55217_AT1,6.4700991425264,0.0005740618701333133,8
2,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,8
3,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,8
4,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,8
5,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,8
6,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,8
0,189_AT1;1638_AT1;246_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1;113612_AT1,10,,6.463957031627351,0.0,9
1,189_AT1;1638_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1;113612_AT1,9,246_AT1,6.463968625882279,-1.1594254927693726e-05,9
2,189_AT1;1638_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1;113612_AT1,8,2053_AT1,6.463283638987425,0.0006849868948535232,9
3,189_AT1;1638_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,113612_AT1,6.461853394200112,0.0014302447873131285,9
4,189_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,1638_AT1,6.460174459418546,0.0016789347815659994,9
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,189_AT1,6.454117045385332,0.006057414033214137,9
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,9
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,9
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,9
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,9
