Knocked Genes,Knocked Count,Fitness
"51_AT2,2132_AT1,66002_AT1,200576_AT1,56474_AT1,7086_AT1,5825_AT1",7,0.7350056537824696
"5211_AT2,113675_AT1,9896_AT1,56983_AT1,10553_AT1",5,0.7277264565348986
"2651_AT1,5214_AT1",2,0.7247974830956941
"226_AT1,2595_AT1,31_AT3,283208_AT1",4,0.7059430657021238
"4669_AT1,6888_AT1,51660_AT1,283209_AT1",4,0.6815986476332716
"2538_AT1,23396_AT1,64077_AT1,374569_AT1",4,0.6760148770565765
"47_AT1,5244_AT3,5152_AT3,5211_AT1,5408_AT1",5,0.6054960898860521
"84129_AT1,2997_AT1,5832_AT1,5211_AT1,79799_AT1",5,0.5741890514140695
"1716_AT3,2629_AT5,5152_AT11,4831_AT1,9469_AT1,81537_AT1,55276_AT1",7,0.5447173926657852
"57835_AT3,57835_AT4,2134_AT1,80142_AT3,55276_AT1,8630_AT1,55613_AT1,7468_AT1",8,0.5172897596431539
"55343_AT1,51478_AT1,1583_AT1,5289_AT1,5251_AT1,100507855_AT1",6,0.4994963991919728
"490_AT1,376497_AT1,7001_AT3,3635_AT1,195814_AT1,26330_AT1,53354_AT2,253558_AT1,11102_AT1",9,0.4924146675138571
"55315_AT1,64781_AT1,230_AT1,5152_AT13,5287_AT1,30061_AT1,8228_AT1,116369_AT1",8,0.4895498819668614
"4942_AT1,2982_AT1,23530_AT1,2766_AT1,5211_AT2",5,0.4677991080580234
"230_AT1,2679_AT1,10060_AT1",3,0.4670017583706014
"10317_AT1,83549_AT1,113235_AT1,9435_AT1,5230_AT1,10728_AT1,518_AT2",7,0.4654746330449733
"23498_AT1,64902_AT1,114805_AT1,130013_AT1,55276_AT1,58508_AT1,498_AT3",7,0.4523622504786138
"53905_AT2,124975_AT1,7086_AT1",3,0.409841555423814
"2348_AT5,230_AT1,79901_AT1",3,0.407519261438623
"230_AT1,3418_AT1,594_AT2,10858_AT1,5373_AT1",5,0.3962135486846571
"262_AT1,6817_AT3,8824_AT1,6507_AT1,1629_AT1,10005_AT2,6120_AT1,115111_AT2,10715_AT1",9,0.3952024484920024
