,bTS,mTS,wTS,rTS
0,23.157799271880155,0.021675712711075008,3.270510268938325,0.021675712711075008
26_AT1,49.96280576941631,-0.0008159005975578233,0.6834446230324368,-0.0008159005975578233
8639_AT1,14.669423546390448,-0.008800775501043702,0.36278004488520255,-0.008800775501043702
1591_AT1,24.176499209139823,-0.0008159005975578233,0.6597103971309166,-0.0008159005975578233
1594_AT1,64.1269103523997,-0.0008159005975578233,1.8996809423231056,-0.0008159005975578233
10993_AT1,13.513275882341942,0.009138923824427918,0.3651148979613521,0.009138923824427918
6818_AT1,26.907731359981742,-0.0008159005975578233,0.7731134180226522,-0.0008159005975578233
89874_AT1,10.189021135480576,0.0016869479909049259,0.39139006688083483,0.0016869479909049259
134526_AT1,24.716649517163038,-0.0008159005975578233,0.716758349031125,-0.0008159005975578233
51_AT1,6.605086189339375,0.023676211988389435,0.7494315794136168,0.023676211988389435
95_AT1,14.651321830633368,0.004544870501771042,0.5797352518398482,0.004544870501771042
8309_AT1,14.092685040002724,-0.0008248092078631787,0.5892883083877264,-0.0008248092078631787
788_AT1,0.12577547343009415,-0.03972116449370899,0.05431571289841303,-0.03972116449370899
9194_AT1,1.2896918894038831,-0.10338860983764193,0.2416526437010838,-0.10338860983764193
6566_AT1,0.02798426153881993,-0.031709145863130124,-0.033845552311182116,-0.031709145863130124
65985_AT1,9.472023612878694,0.016495103200416646,0.39084856686887964,0.016495103200416646
438_AT1,81.38976084805022,0.012627969199034429,0.7100767894791135,0.012627969199034429
1571_AT1,8.412266199388984,-0.032259935899789365,0.42877783095247524,-0.032259935899789365
57835_AT1,13.481184822688256,-0.0052083813600872775,2.5758004729851844,-0.0052083813600872775
100_AT1,12.101389267048612,0.005574471041721473,0.35083303877119026,0.005574471041721473
8050_AT1,4.998862173313545,0.013946688357894118,0.18136209115747282,0.013946688357894118
1738_AT1,0.4608166297739836,0.032965342552984035,0.020420658467396748,0.032965342552984035
3177_AT1,0.33405728520127753,0.0034134298574152455,0.08841986012161007,0.0034134298574152455
4967_AT1,13.706210709747216,-0.042570381433266684,0.5941824807832619,-0.042570381433266684
1743_AT1,11.139084054602364,-0.008540079970469343,0.991075577270368,-0.008540079970469343
128_AT1,2.690527874195317,0.013661659915889024,0.0002748460684933795,0.013661659915889024
137872_AT1,13.235450819707925,0.02810247156521601,0.6965719435895129,0.02810247156521601
50808_AT1,2.7977999284031125,-0.03479988521565704,0.0900881595924351,-0.03479988521565704
262_AT1,20.6490772978587,-0.009801148005066948,0.6515902008868021,-0.009801148005066948
117247_AT1,2.157864625434273,0.003698344692443795,0.21785596823386155,0.003698344692443795
3242_AT1,38.41831382178817,0.0009756603469593097,0.6676156476458251,0.0009756603469593097
18_AT1,22.933728421370922,-0.03377950386118368,3.4487358361431077,-0.03377950386118368
2531_AT1,4.598970564983875,0.005636231753667807,0.3350624348172825,0.005636231753667807
23498_AT1,10.63082075477761,0.015656874547368846,-3.5418155892081553,22.189918924326538
55268_AT1,0.716136378430503,0.03126197286463391,0.09894236052823036,0.03126197286463391
51166_AT1,8.09547187537212,-0.01243584709384733,0.2555166198041093,-0.01243584709384733
2030_AT1,10.541701075394432,-0.004719896738562618,0.48654993950864367,-0.004719896738562618
883_AT1,1.2316388531753562,-0.0043279023834148205,0.06553435305531723,-0.0043279023834148205
1644_AT1,22.712141499049757,-0.0022207156526943953,0.6280772460305608,-0.0022207156526943953
64078_AT1,26.967429050834443,0.020119879781936578,0.5169875733379647,0.020119879781936578
55315_AT1,0.3905351767057576,0.007088039996866186,0.2963044339089434,0.007088039996866186
11164_AT1,7.611751014987552,0.02771249884129178,0.3030735472089612,0.02771249884129178
952_AT1,9.409749263255616,0.029308314760655905,0.2676651998114478,0.029308314760655905
533_AT1,14.094421095789196,0.003780150415976315,0.5900909534509754,0.003780150415976315
2805_AT1,4.864445319411854,0.06850583108374425,0.17513185388179203,0.06850583108374425
1374_AT1,1.160329599026654,0.012918469509911065,0.04429094322337579,0.012918469509911065
2806_AT1,1.4629422000951975,0.01863248776076315,0.24880656435650672,0.01863248776076315
8659_AT1,26.100772089283637,-0.0008159005975578233,0.702902871729034,-0.0008159005975578233
6817_AT1,16.501714348259455,3.6510821384474306e-05,0.7158267189121615,3.6510821384474306e-05
523_AT1,14.094421095789196,0.003780150415976315,0.5900909534509754,0.003780150415976315
1376_AT1,0.13650978045536852,-0.02447928549601874,0.049640529898339364,-0.02447928549601874
8992_AT1,14.094421095789196,0.003780150415976315,0.5900909534509754,0.003780150415976315
4363_AT1,16.10838689311934,-0.001016883681885249,0.5140119945353171,-0.001016883681885249
6822_AT1,9.32505317470676,-0.001628156439637376,0.4753827370792933,-0.001628156439637376
6573_AT1,1.8404669555895279,-0.018254393439734833,-0.11455368992307421,-0.018254393439734833
316_AT1,22.409648975348357,0.06694375257473043,0.6980115880338765,0.06694375257473043
10331_AT1,18.629283122995997,-0.007803032440295746,0.5242672011613609,-0.007803032440295746
51382_AT1,14.094421095789196,0.003780150415976315,0.5900909534509754,0.003780150415976315
10678_AT1,16.77068907319538,-0.013916921256258928,0.618180183955224,-0.013916921256258928
