,bTS,mTS,wTS,rTS
0,-7.64613698707106e-08,0.006222312050450761,7.677363103638947e-08,0.006222312050450761
26_AT1,-7.64613698707106e-08,0.0035806708450921913,7.677363103638947e-08,0.0035806708450921913
8639_AT1,-0.005554065606134808,-0.0030494214417561656,0.012187725731997659,-0.0030494214417561656
1591_AT1,-7.64613698707106e-08,0.0035806708450921913,7.677363103638947e-08,0.0035806708450921913
1594_AT1,-6.668954455487314e-08,0.0035806708450921913,6.696189848936985e-08,0.0035806708450921913
10993_AT1,-0.05935170496731341,-0.0005711440334217324,0.0646659101741428,-0.0005711440334217324
6818_AT1,-7.64613698707106e-08,0.0035806708450921913,7.677363103638947e-08,0.0035806708450921913
89874_AT1,-0.005288823119047478,-0.0024848699694453562,0.01077704410651715,-0.0024848699694453562
134526_AT1,-7.64613698707106e-08,0.0035806708450921913,7.677363103638947e-08,0.0035806708450921913
51_AT1,-0.0006565178790072117,-0.0013097105225551545,0.0029576144416396696,-0.0013097105225551545
95_AT1,0.004590102492274068,0.0026838418440983214,0.012558922682312793,0.0026838418440983214
8309_AT1,0.010072896611379854,0.004100083242333303,0.013881185025958328,0.004100083242333303
788_AT1,-0.00015127264555945725,0.000515726792999145,0.0005214839995289952,0.000515726792999145
9194_AT1,-0.0726686290005976,-0.01977941603130155,0.07376306813346611,-0.01977941603130155
6566_AT1,0.013298356138659012,0.004715423766672282,-0.013069874902021595,0.012433738333433112
65985_AT1,-0.0010665256452474505,-0.0003564902604269101,0.0059042476675261945,-0.0003564902604269101
438_AT1,-7.64613698707106e-08,0.0029718896383285295,7.677363103638947e-08,0.0029718896383285295
1571_AT1,-0.012308996703226415,-0.004258351321078601,0.015242959943350499,-0.004258351321078601
57835_AT1,0.03619154398036883,0.004286061932726347,-0.030679858046744043,0.028661497061644794
100_AT1,0.02673859809319746,0.007104652493742946,-0.009197369660322962,0.025531256291511494
8050_AT1,0.005278639101352967,0.002773836434659729,-0.003895305197651849,0.0025447020946118464
1738_AT1,0.016636460559310583,0.005091723463531991,-0.01245799876762729,0.014814094121374674
3177_AT1,0.028899869078983,0.009214516096883991,-0.028476286519012663,0.05286935093350516
4967_AT1,0.0013698079423045669,-0.0015492152618032798,0.015381670602131968,-0.0015492152618032798
1743_AT1,-0.0058150143890865185,4.0686442415486776e-05,0.00898336138304068,4.0686442415486776e-05
128_AT1,0.006618173418136809,0.00029102461367626906,-0.005240913697417074,0.0003451286246357289
137872_AT1,0.022186350683232884,-0.002393641517932698,0.06155498095620174,-0.002393641517932698
50808_AT1,0.006932521245858904,-0.0006355019544760956,-0.005268602192288721,-0.0006355019544760956
262_AT1,0.01821630858145673,0.004719804704077746,0.015185080067859498,0.004719804704077746
117247_AT1,-0.0087401278536237,-6.976626377326734e-05,0.009583874663797615,-6.976626377326734e-05
3242_AT1,0.025514300590742767,-0.0019307535252971232,0.03923534472656661,-0.0019307535252971232
18_AT1,-7.64613698707106e-08,-0.0024041326937853454,7.677363103638947e-08,-0.0024041326937853454
2531_AT1,-0.0440838326305451,-0.0010344910687921697,0.04706054587633906,-0.0010344910687921697
23498_AT1,0.03816474821571114,0.018768067279692265,0.004212267086352581,0.018768067279692265
