Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
0,189_AT1;622_AT1;8528_AT2;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1;10941_AT1,10,,5.738947809293435,0.0,1
1,189_AT1;622_AT1;8528_AT2;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,9,10941_AT1,5.738626640420243,0.00032116887319233456,1
2,189_AT1;8528_AT2;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,8,622_AT1,5.737696429225806,0.0009302111944373692,1
3,189_AT1;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,7,8528_AT2,5.734904464516121,0.002791964709684791,1
4,189_AT1;178_AT3;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,6,26227_AT1,5.715730918731539,0.019173545784582302,1
5,189_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,5,178_AT3,5.659309857326833,0.0564210614047056,1
6,189_AT1;375056_AT1;8781_AT1;100507855_AT1,4,5168_AT1,5.605992884273446,0.053316973053386896,1
7,375056_AT1;8781_AT1;100507855_AT1,3,189_AT1,5.5455562924586825,0.060436591814763574,1
8,375056_AT1;8781_AT1,2,100507855_AT1,5.426469033757101,0.11908725870158143,1
9,375056_AT1,1,8781_AT1,5.232510862589838,0.19395817116726288,1
0,189_AT1;622_AT1;8528_AT2;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1;10941_AT1,10,,5.738947809293435,0.0,0
1,189_AT1;622_AT1;8528_AT2;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,9,10941_AT1,5.738626640420243,0.00032116887319233456,0
2,189_AT1;8528_AT2;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,8,622_AT1,5.737696429225806,0.0009302111944373692,0
3,189_AT1;178_AT3;26227_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,7,8528_AT2,5.734904464516121,0.002791964709684791,0
4,189_AT1;178_AT3;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,6,26227_AT1,5.715730918731539,0.019173545784582302,0
5,189_AT1;5168_AT1;375056_AT1;8781_AT1;100507855_AT1,5,178_AT3,5.659309857326833,0.0564210614047056,0
6,189_AT1;375056_AT1;8781_AT1;100507855_AT1,4,5168_AT1,5.605992884273446,0.053316973053386896,0
7,375056_AT1;8781_AT1;100507855_AT1,3,189_AT1,5.5455562924586825,0.060436591814763574,0
8,375056_AT1;8781_AT1,2,100507855_AT1,5.426469033757101,0.11908725870158143,0
9,375056_AT1,1,8781_AT1,5.232510862589838,0.19395817116726288,0
