Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
0,8528_AT1;79017_AT1;1588_AT1;51447_AT4;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,10,,6.021365734362713,0.0,0
1,8528_AT1;79017_AT1;1588_AT1;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,9,51447_AT4,6.021365734335318,2.7394975177230663e-11,0
2,8528_AT1;79017_AT1;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,8,1588_AT1,6.020674317713863,0.0006914166214553319,0
3,79017_AT1;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,7,8528_AT1,6.0170518885571225,0.003622429156740381,0
4,5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,6,79017_AT1,6.010363996275952,0.006687892281170171,0
5,5168_AT1;132158_AT1;375056_AT1;8781_AT1;2978_AT1,5,100507855_AT1,5.947028679250916,0.06333531702503592,0
6,132158_AT1;375056_AT1;8781_AT1;2978_AT1,4,5168_AT1,5.888442146095583,0.05858653315533324,0
7,132158_AT1;375056_AT1;8781_AT1,3,2978_AT1,5.7976253802933835,0.09081676580219966,0
8,132158_AT1;375056_AT1,2,8781_AT1,5.655379445065017,0.1422459352283667,0
9,375056_AT1,1,132158_AT1,5.232510862589838,0.42286858247517856,0
0,8528_AT1;79017_AT1;1588_AT1;51447_AT4;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,10,,6.021365734362713,0.0,63
1,8528_AT1;79017_AT1;1588_AT1;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,9,51447_AT4,6.021365734335318,2.7394975177230663e-11,63
2,8528_AT1;79017_AT1;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,8,1588_AT1,6.020674317713863,0.0006914166214553319,63
3,79017_AT1;5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,7,8528_AT1,6.0170518885571225,0.003622429156740381,63
4,5168_AT1;132158_AT1;375056_AT1;8781_AT1;100507855_AT1;2978_AT1,6,79017_AT1,6.010363996275952,0.006687892281170171,63
5,5168_AT1;132158_AT1;375056_AT1;8781_AT1;2978_AT1,5,100507855_AT1,5.947028679250916,0.06333531702503592,63
6,132158_AT1;375056_AT1;8781_AT1;2978_AT1,4,5168_AT1,5.888442146095583,0.05858653315533324,63
7,132158_AT1;375056_AT1;8781_AT1,3,2978_AT1,5.7976253802933835,0.09081676580219966,63
8,132158_AT1;375056_AT1,2,8781_AT1,5.655379445065017,0.1422459352283667,63
9,375056_AT1,1,132158_AT1,5.232510862589838,0.42286858247517856,63
