Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
0,178_AT2;1589_AT1;8833_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,9,,6.404034049726369,0.0,0
1,178_AT2;1589_AT1;8833_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,5230_AT1,6.404034049726369,0.0,0
2,178_AT2;8833_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,1589_AT1,6.403789054489868,0.000244995236500678,0
3,8833_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,178_AT2,6.40305874103236,0.0007303134575087356,0
4,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,8833_AT1,6.398790828557178,0.0042679124751812125,0
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,0
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,0
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,0
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,0
0,10312_AT2;178_AT2;8833_AT1;132158_AT1;5230_AT1;5232_AT1;23443_AT1;5634_AT1;8781_AT1;283209_AT1,10,,6.403789054487415,0.0,1
1,10312_AT2;178_AT2;8833_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,9,23443_AT1,6.403789054490414,-2.9984903449076228e-12,1
2,10312_AT2;178_AT2;8833_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,5230_AT1,6.403789054490414,0.0,1
3,178_AT2;8833_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,10312_AT2,6.403789054489868,5.453415496958769e-13,1
4,8833_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,178_AT2,6.40305874103236,0.0007303134575087356,1
5,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,8833_AT1,6.398790828557178,0.0042679124751812125,1
6,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,1
7,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,1
8,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,1
9,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,1
0,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,,6.399766050128643,0.0,2
1,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,5230_AT1,6.399766050128643,0.0,2
2,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,2
3,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,2
4,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,2
5,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,2
6,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,2
7,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,2
0,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,,6.399766050128643,0.0,3
1,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,3
2,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,3
3,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,3
4,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,3
5,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,3
6,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,3
0,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,,6.399766050128643,0.0,4
1,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,5230_AT1,6.399766050128643,0.0,4
2,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,4
3,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,4
4,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,4
5,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,4
6,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,4
7,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,4
0,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,,6.399766050128643,0.0,5
1,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,5230_AT1,6.399766050128643,0.0,5
2,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,5
3,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,5
4,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,5
5,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,5
6,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,5
7,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,5
0,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;23443_AT1;5634_AT1;8781_AT1;283209_AT1,9,,6.399766050086041,0.0,6
1,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,23443_AT1,6.399766050128643,-4.260236607933621e-11,6
2,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,5230_AT1,6.399766050128643,0.0,6
3,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,6
4,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,6
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,6
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,6
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,6
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,6
0,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;23443_AT1;5634_AT1;8781_AT1;283209_AT1,9,,6.399766050086041,0.0,7
1,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,23443_AT1,6.399766050128643,-4.260236607933621e-11,7
2,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,5230_AT1,6.399766050128643,0.0,7
3,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,7
4,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,7
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,7
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,7
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,7
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,7
0,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;23443_AT1;5634_AT1;8781_AT1;283209_AT1,9,,6.399766050086041,0.0,8
1,178_AT2;1589_AT1;132158_AT1;5230_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,8,23443_AT1,6.399766050128643,-4.260236607933621e-11,8
2,178_AT2;1589_AT1;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,7,5230_AT1,6.399766050128643,0.0,8
3,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,1589_AT1,6.399521907021899,0.00024414310674369943,8
4,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,8
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,8
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,8
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,8
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,8
0,178_AT2;132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,6,,6.399521907021899,0.0,9
1,132158_AT1;5232_AT1;5634_AT1;8781_AT1;283209_AT1,5,178_AT2,6.398790828557178,0.00073107846472098,9
2,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5634_AT1,6.3675585199822216,0.031232308574956846,9
