"gene_id","logFC","adj.P.Val"
"ENSG00000000003",2.66541349971171,3.33436911798764e-24
"ENSG00000000419",-0.189347157327264,0.676932686325842
"ENSG00000000457",2.85503327326066,4.88126077375607e-27
"ENSG00000000460",1.99161324464813,2.2501923970498e-19
"ENSG00000000938",3.35924309107604,9.83639196636041e-21
"ENSG00000000971",4.15388495851027,3.53617010310067e-21
"ENSG00000001036",2.79447340783094,6.5084165010957e-32
"ENSG00000001084",4.79218681427065,7.77613778092522e-47
"ENSG00000001167",2.76380102261426,1.25900803278793e-19
"ENSG00000001460",3.63432365883537,1.24812917216224e-38
"ENSG00000001461",6.51925544863291,2.41974949853373e-58
"ENSG00000001497",4.71478261208056,1.09005735067635e-35
"ENSG00000001561",4.30662531495406,4.25426615727138e-27
"ENSG00000001617",4.41647327032561,9.63841281124184e-29
"ENSG00000001626",1.35719418948086,8.50480912296952e-07
"ENSG00000001629",6.52305453765226,3.55348653673107e-37
"ENSG00000001630",4.75149242239097,3.77040041923216e-35
"ENSG00000001631",4.78993819106954,2.70156601510653e-41
"ENSG00000002016",4.445224262551,4.38079829281675e-37
"ENSG00000002330",2.50455384522333,1.1100819295316e-23
"ENSG00000002549",4.1395174200659,3.81742476869652e-36
"ENSG00000002586",4.22873098573337,2.00537232469298e-27
"ENSG00000002587",3.36910726272925,7.45221650117537e-28
"ENSG00000002746",6.73725605611524,2.6088518492015e-45
"ENSG00000002822",4.88446134374419,1.53131063273061e-39
"ENSG00000002834",6.88943136386185,3.82819568653515e-54
"ENSG00000002919",2.27650579743837,5.20471718565743e-23
"ENSG00000002933",2.67137000251005,1.82650075011679e-18
"ENSG00000003056",4.45723783650311,5.42901691665382e-45
"ENSG00000003096",1.67874374992471,1.12101264049253e-13
"ENSG00000003137",2.56450805457579,1.95788888611656e-16
"ENSG00000003147",3.99788696986582,4.4519346832995e-28
"ENSG00000003249",5.41664220094437,7.36214113171362e-47
"ENSG00000003393",4.96791476003457,2.90874208150561e-39
"ENSG00000003400",3.23568224735206,1.36813386848984e-23
"ENSG00000003402",7.38673546717824,2.2021053131693e-48
"ENSG00000003436",5.32957838871401,1.05334912358916e-47
"ENSG00000003509",3.09931288746095,3.76909833826354e-24
"ENSG00000003756",6.53892431175965,1.02658000076219e-55
"ENSG00000003987",4.01471099981223,1.19148430216814e-31
"ENSG00000003989",4.02073779219171,4.58107004315593e-21
"ENSG00000004059",4.74679024817841,7.99621931572504e-44
"ENSG00000004139",5.58139594613793,6.65229778947752e-48
"ENSG00000004142",5.40942701616772,2.15141012408583e-51
"ENSG00000004399",4.78700918017649,2.63476534917588e-45
"ENSG00000004455",5.32670323233503,3.90134984382951e-52
"ENSG00000004468",2.1684651483306,1.66500621112434e-16
"ENSG00000004478",6.76184750491379,3.6209036508969e-36
"ENSG00000004487",4.11663244021609,4.35133432124617e-37
"ENSG00000004534",6.72026942271665,1.90873721620838e-55
"ENSG00000004660",6.67720872561295,6.77145707467994e-51
"ENSG00000004700",3.14556756437934,8.38203331643023e-29
"ENSG00000004766",4.45254964875001,1.61669213845237e-38
"ENSG00000004776",2.80420249011865,5.68720428011946e-21
"ENSG00000004777",5.74677153205042,6.49234612976773e-42
"ENSG00000004779",3.08173046161836,1.83574606100391e-28
"ENSG00000004799",5.28405747492253,1.66701407887039e-29
"ENSG00000004809",-0.365637769137406,0.0828747007672323
"ENSG00000004838",0.88945139163206,5.01104655132857e-06
