"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id"
1.35460189187484,3.3657395980893,5.39486713508172,1.92865805123602e-06,0.0155756417946066,4.80655235767387,"ENSG00000121900"
-1.38943445914938,3.61549772929696,-5.33376212374598,2.38823968604355e-06,0.0155756417946066,4.66756537225342,"ENSG00000008118"
-1.1474922070123,2.93650309596168,-5.22748735427319,3.45920117818162e-06,0.0169141100808369,4.29928844736053,"ENSG00000162543"
-3.5287577110213,-0.965765919738202,-5.52004637293027,1.24293978901035e-06,0.0155756417946066,4.15276900552604,"ENSG00000285578"
0.896108841452714,6.0714713511219,5.06326419887543,6.11115463898483e-06,0.0202546029150849,3.8127401981569,"ENSG00000107731"
1.05026079189243,4.90334590171453,4.98234228744385,8.07568705703598e-06,0.0202546029150849,3.55471506279889,"ENSG00000112139"
-1.47001225751869,3.49739746233644,-4.93385413131652,9.53824280213705e-06,0.0202546029150849,3.39518929297198,"ENSG00000165973"
0.828369626755189,5.75152550462806,4.92634369840394,9.78696860139153e-06,0.0202546029150849,3.37545958280228,"ENSG00000154978"
-1.90686723230762,1.17236720219034,-4.97514118942204,8.27803528316152e-06,0.0202546029150849,3.37219156340069,"ENSG00000122025"
-1.72642131864699,1.87076532824412,-4.94981160274539,9.0302365731538e-06,0.0202546029150849,3.3701833821555,"ENSG00000251595"
-2.48953690152555,-1.67972044336626,-5.31517931215304,2.54837071246836e-06,0.0155756417946066,3.28018736218939,"ENSG00000281925"
-1.04492933967874,3.91735813650797,-4.88344853604051,1.13347102572237e-05,0.0202546029150849,3.240784983693,"ENSG00000092094"
1.49484661661032,1.90515521747078,4.8767129910159,1.15986764075257e-05,0.0202546029150849,3.0438286034773,"ENSG00000164379"
-1.02177926731379,5.00062006444406,-4.7951685385247,1.53156673143169e-05,0.0228016884237934,2.96157500400714,"ENSG00000137501"
-1.33362142725405,3.90857224022983,-4.7788402748601,1.61896942767675e-05,0.0228016884237934,2.91268111587794,"ENSG00000285229"
-1.2600641337276,4.71925768254475,-4.70481684253877,2.08063748262529e-05,0.0232951966661471,2.67919815752565,"ENSG00000188211"
-2.64157150679275,-0.244849453879405,-4.84162982238489,1.3074386190043e-05,0.0213095062382781,2.60245210530374,"ENSG00000250846"
-1.17737746957407,7.11719432339796,-4.68047880031459,2.25894869289386e-05,0.0232951966661471,2.58662171507845,"ENSG00000008086"
-1.46981884190407,1.11902544380535,-4.70215691797831,2.09943281858231e-05,0.0232951966661471,2.54526059302589,"ENSG00000258561"
1.38229121708064,5.18057065864232,4.65789951473839,2.43772075824208e-05,0.023838958839001,2.53412227286495,"ENSG00000082781"
-2.10393652199498,0.75257628479656,-4.72710368628817,1.92950541554488e-05,0.0232951966661471,2.51396036033956,"ENSG00000273598"
-1.97467827391429,0.490503041887999,-4.6982820973001,2.12711100153766e-05,0.0232951966661471,2.42746246362371,"ENSG00000287583"
-1.97046975570879,1.32375658539087,-4.64493629553272,2.54654660445056e-05,0.023945373609849,2.40314727166442,"ENSG00000254561"
-1.04142783924944,4.32111617532913,-4.6056804038596,2.90594449334802e-05,0.0243740539102465,2.37319037304972,"ENSG00000282826"
-1.30362739802051,4.44088774165392,-4.60097486034644,2.95222542036091e-05,0.0243740539102465,2.35780457285605,"ENSG00000003147"
-1.1250931175455,3.48197355600266,-4.57257460115083,3.24726421291986e-05,0.0243740539102465,2.27487247884672,"ENSG00000170899"
-1.54180078603771,-0.0668724823892749,-4.67684419174447,2.28683213345685e-05,0.0232951966661471,2.25116762533486,"ENSG00000229017"
0.922754112434183,4.85980149320992,4.56046761508646,3.38163852697944e-05,0.0243740539102465,2.23327812391743,"ENSG00000108828"
0.725704672906453,4.9056960439173,4.55720592900744,3.41876028056239e-05,0.0243740539102465,2.22281931407158,"ENSG00000162980"
-2.0527036510337,-1.18747379037264,-4.88908115673008,1.11185097407024e-05,0.0202546029150849,2.21800588079923,"ENSG00000214110"
1.24990621713462,3.73955738060858,4.54583967222478,3.55126277765761e-05,0.0243740539102465,2.19206296468696,"ENSG00000149451"
1.3062726635989,3.7945302367321,4.52817233403862,3.76725076809439e-05,0.0243740539102465,2.13796377395849,"ENSG00000237441"
1.60345352373162,1.85278615390984,4.56819800663496,3.29522551386878e-05,0.0243740539102465,2.11835058435788,"ENSG00000204386"
1.58781768651509,3.18742530434641,4.51987296714107,3.8730967540036e-05,0.0243740539102465,2.10060256112134,"ENSG00000180447"
1.51703080996941,7.0090098753831,4.5167448167002,3.91374145514291e-05,0.0243740539102465,2.0814084774783,"ENSG00000020577"
-1.10986786003083,2.51211298456845,-4.50452805428171,4.07650822982071e-05,0.0243740539102465,2.0590638459777,"ENSG00000129484"
0.789492460706283,5.91271190853931,4.49510791867526,4.20651488654945e-05,0.0243740539102465,2.02026640236327,"ENSG00000186174"
-0.981808138023056,4.62109656378341,-4.48675668543756,4.32515153880547e-05,0.0243740539102465,2.00337978653018,"ENSG00000117625"
-1.55862977284422,1.93530443106906,-4.49109000653822,4.26319050494891e-05,0.0243740539102465,1.99403582680272,"ENSG00000171509"
-2.65461311926022,-1.24611348950192,-4.76815646242381,1.67878923277274e-05,0.0228016884237934,1.95051535359832,"ENSG00000281039"
-0.949468821984161,6.73090005103937,-4.47251884019991,4.53499303310356e-05,0.0243740539102465,1.94105228996746,"ENSG00000248905"
-1.59619346482976,0.708572215873028,-4.50099194616166,4.12484279021572e-05,0.0243740539102465,1.90523271911187,"ENSG00000185272"
