	0
ENSG00000000003	42.6127336873552
ENSG00000000419	6.73240515597065
ENSG00000000457	61.18336129894685
ENSG00000000460	38.30124508116785
ENSG00000000938	47.635770835657
ENSG00000000971	91.81768760814646
2519_AT1	45.1801345532971
2729_AT1	212.08633173978052
ENSG00000001167	63.494498551319246
ENSG00000001460	108.4682207206675
ENSG00000001461	610.9622900589491
ENSG00000001497	196.291409532908
ENSG00000001561	126.3797971340325
ENSG00000001617	119.1685767923845
1080_AT1	20.78847441608205
ENSG00000001629	676.708032092467
1595_AT1	183.7378833249175
ENSG00000001631	238.72183274402153
ENSG00000002016	178.061098161507
ENSG00000002330	44.17485228388705
51056_AT1	134.5680984576695
ENSG00000002586	136.14057978781602
9957_AT1	69.16297191448655
ENSG00000002746	1012.6075597696905
ENSG00000002822	192.837005822735
ENSG00000002834	780.942830693198
ENSG00000002919	29.233759259843353
ENSG00000002933	36.5992644966921
ENSG00000003056	162.08049134315002
ENSG00000003096	19.708475004847152
ENSG00000003137	46.684056202893004
ENSG00000003147	176.52781997777998
ENSG00000003249	303.52341807609
ENSG00000003393	275.3957778353705
ENSG00000003400	60.6685647125265
ENSG00000003402	1003.689422614736
ENSG00000003436	322.0005979620165
ENSG00000003509	79.44685479975075
ENSG00000003756	750.8169812559561
9108_AT1	158.747179920179
6542_AT1	94.4068073528545
ENSG00000004059	167.0225681205
ENSG00000004139	380.85519758434555
ENSG00000004142	277.3381571216115
ENSG00000004399	171.88714075086148
204_AT2	251.5862960761355
952_AT1	30.6304695129069
ENSG00000004478	530.3632262011611
ENSG00000004487	153.7136657166975
ENSG00000004534	820.0981783160926
ENSG00000004660	900.5102107337316
ENSG00000004700	61.030493121957406
ENSG00000004766	182.99639599280448
ENSG00000004776	36.2123360655108
ENSG00000004777	342.95580588587404
4706_AT1	57.6751861404854
ENSG00000004799	245.5430551098235
ENSG00000004809	4.709581193837749
ENSG00000004838	9.810534490497876
ENSG00000004848	44.05746998488665
10165_AT1	21.71062847325365
ENSG00000004866	96.1576808468334
ENSG00000004897	245.06140754748998
6521_AT1	2.09371676520239
ENSG00000004961	24.983982153132
ENSG00000004975	181.177351630719
ENSG00000005007	289.715573282619
ENSG00000005020	69.87284147200259
292_AT1	198.4795392374875
ENSG00000005059	5.5024830804210545
ENSG00000005075	58.3782339575144
ENSG00000005100	154.807919987733
ENSG00000005108	215.811060640129
ENSG00000005156	235.3585959920795
ENSG00000005175	101.79355842727554
6296_AT1	11.57699655252055
ENSG00000005189	9.21956938069045
ENSG00000005194	98.2813749328004
ENSG00000005206	331.0656772219895
ENSG00000005238	141.7658985963845
ENSG00000005243	20.4175286948342
ENSG00000005249	116.383205671532
ENSG00000005302	125.994611131923
ENSG00000005339	2176.45080144394
ENSG00000005379	1512.71127713554
4353_AT1	4.74253813932693
ENSG00000005436	94.8273587049208
ENSG00000005448	27.3584915144428
54677_AT1	15.2856502592484
5244_AT1	6.52315048417058
55904_AT1	912.2516008362425
ENSG00000005486	384.7521611654205
ENSG00000005513	532.022815642292
ENSG00000005700	141.804995349943
ENSG00000005801	182.7659039827215
ENSG00000005810	1884.41944983862
ENSG00000005812	288.330668364781
ENSG00000005844	23.19289723630895
ENSG00000005882	307.1834003527475
ENSG00000005884	294.016482434564
ENSG00000005889	276.51439129594496
ENSG00000005893	692.8588227253805
ENSG00000005961	44.3382632520852
ENSG00000005981	28.4202271346146
ENSG00000006007	276.8767978211855
ENSG00000006015	149.825727823119
ENSG00000006016	69.20442465083315
ENSG00000006025	167.03272512344
ENSG00000006042	164.042791280215
ENSG00000006062	102.958312419908
6833_AT1	426.10768754537196
ENSG00000006118	691.0715064740195
ENSG00000006125	1174.4737689161252
ENSG00000006128	2.1325839210814603
ENSG00000006194	174.503060357831
ENSG00000006210	474.41088383671354
ENSG00000006282	260.34729671109596
ENSG00000006283	564.0824061151709
ENSG00000006327	6.22927986810443
ENSG00000006377	5.219378511164946
ENSG00000006432	186.14778931109203
ENSG00000006451	99.51658762835794
ENSG00000006453	12.0111330724536
ENSG00000006459	193.9801437229955
ENSG00000006468	129.4609758674455
55750_AT1	178.97645588118797
221_AT1	41.013222915075346
ENSG00000006555	8.943010618729701
ENSG00000006576	140.18539894694248
ENSG00000006607	315.93748420070347
ENSG00000006611	20.294548401717748
79017_AT1	26.48682757436735
ENSG00000006634	25.06769254088335
ENSG00000006638	4.861153592321671
ENSG00000006652	219.995496279984
ENSG00000006695	100.33399479043044
ENSG00000006704	173.212922862649
ENSG00000006712	140.840419145656
ENSG00000006715	450.0595122528705
ENSG00000006740	517.653479817666
ENSG00000006744	197.9121454691855
ENSG00000006747	62.35702562037625
ENSG00000006756	64.92810783144574
8228_AT1	47.2033211123025
ENSG00000006831	201.0364184126205
ENSG00000006837	61.4184361414634
151531_AT1	14.6990224771171
ENSG00000007047	391.83848567135897
ENSG00000007062	22.394126395543047
ENSG00000007080	110.811978830555
5048_AT1	1048.0078666350435
4843_AT1	30.51298847965485
ENSG00000007174	96.68459327170424
ENSG00000007202	1374.774957005805
ENSG00000007237	2592.3725914286697
ENSG00000007255	16.727506903107198
ENSG00000007264	337.1722271377505
ENSG00000007314	3.7005741807499346
ENSG00000007341	94.6880605098865
ENSG00000007372	154.107087104811
ENSG00000007376	125.17668667466648
